Date,Time,Species,Sex,Length ,Location,Tag
7/12/2019,AM,BR,M,400,RWC,
7/12/2019,AM,BR,F,550,RWC,
7/20/2019,AM,LS,F,310,RWC,
7/25/2019,AM,BR,F,380,RWC,
7/25/2019,AM,BR,M,485,RWC,
7/25/2019,AM,7G,M,380,RWC,
7/31/2019,AM,BR,M,380,RWC,
7/31/2019,AM,BR,M,380,RWC,
7/31/2019,AM,BR,M,380,RWC,
7/31/2019,AM,BR,M,330,RWC,
7/31/2019,AM,BR,M,330,RWC,
7/31/2019,AM,BR,M,420,RWC,
7/31/2019,AM,BR,M,370,RWC,
7/31/2019,AM,BR,F,380,RWC,
9/21/2019,PM,BR,F,360,RWC,
9/21/2019,PM,BR,M,350,RWC,
9/21/2019,PM,BR,F,330,RWC,
9/21/2019,PM,BR,F,360,RWC,
9/21/2019,PM,BR,M,400,RWC,
9/21/2019,PM,SVN,M,670,RWC,
9/26/2019,PM,SVN,M,190,RWC,
9/26/2019,PM,SVN,F,230,RWC,
9/26/2019,PM,BR,M,150,RWC,
9/27/2019,PM,BR,F,400,RWC,
9/30/2019,AM,BSH,F,370,RWC,
9/30/2019,AM,BR,F,350,RWC,
9/30/2019,AM,BR,M,290,RWC,
9/30/2019,AM,BR,M,500,RWC,
9/30/2019,AM,BR,M,540,RWC,
9/30/2019,AM,BR,F,410,RWC,
9/30/2019,AM,BR,M,310,RWC,
9/30/2019,AM,BR,M,570,RWC,
10/3/2019,AM,LS,M,680,RWC,
10/3/2019,AM,BR,F,330,RWC,
10/3/2019,AM,BR,F,370,RWC,
10/3/2019,AM,BR,F,350,RWC,
10/3/2019,AM,BR,M,370,RWC,
10/3/2019,AM,BR,M,530,RWC,
10/3/2019,AM,BR,M,360,RWC,
10/3/2019,AM,BR,M,530,RWC,
11/4/2019,AM,BR,M,650,RICH,
11/4/2019,PM,BR,M,470,RICH,
11/4/2019,PM,BR,M,440,RICH,
11/4/2019,PM,BR,M,700,RICH,
12/7/2019,PM,BR,F,1160,RWC,
12/7/2019,PM,BR,M,240,RWC,
12/7/2019,PM,BR,M,370,RWC,
12/7/2019,PM,BR,M,310,RWC,
12/7/2019,PM,BR,M,320,RWC,
12/7/2019,PM,BR,F,410,RWC,
12/9/2019,PM,BR,M,280,RWC,
12/9/2019,PM,BR,M,290,RWC,
12/9/2019,PM,BR,M,260,RWC,
3/7/2020,AM,SVN,F,300,RWC,
6/26/2020,AM,LS,F,,RWC,2599
7/1/2020,AM,LS,F,550,RWC,2601
7/1/2020,PM,LS,F,310,RWC,
7/2/2020,AM,BR,F,440,RWC,
7/2/2020,AM,BR,M,330,RWC,
7/6/2020,PM,BR,F,430,RWC,
7/6/2020,PM,BR,F,320,RWC,
7/7/2020,AM,BR,M,500,RWC,
7/7/2020,AM,BR,F,470,RWC,
7/7/2020,PM,BR,M,380,RWC,
7/7/2020,PM,BR,F,280,RWC,
7/7/2020,PM,BR,M,460,RWC,
7/7/2020,PM,BR,M,400,RWC,
7/7/2020,AM,BR,M,280,RWC,
7/7/2020,AM,BR,M,330,RWC,
7/7/2020,AM,BR,M,270,RWC,
7/7/2020,PM,BR,M,510,RWC,
7/7/2020,PM,LS,F,320,RWC,
7/7/2020,PM,LS,M,520,RWC,
7/2/2020,AM,BR,F,410,RWC,
7/2/2020,PM,BR,M,480,RWC,
10/16/2020,PM,LS,M,780,RWC,2546
10/21/2020,AM,BR,F,350,RWC,
3/24/2021,PM,BR,M,510,RWC,
3/24/2021,PM,BR,M,600,RWC,
3/24/2021,PM,BR,M,580,RWC,
4/1/2021,PM,BR,M,390,RWC,
4/1/2021,PM,BR,M,350,RWC,
4/1/2021,PM,BR,M,630,RWC,
4/1/2021,PM,BR,F,360,RWC,
4/1/2021,PM,BR,F,440,RWC,
4/1/2021,PM,BR,M,420,RWC,
4/1/2021,PM,BR,M,440,RWC,
4/1/2021,PM,BR,M,560,RWC,
4/2/2021,AM/PM,BR,M,560,RWC,
4/2/2021,AM/PM,BR,M,680,RWC,
4/2/2021,AM/PM,BR,F,530,RWC,
4/2/2021,AM/PM,BR,F,560,RWC,
4/2/2021,AM/PM,BR,F,640,RWC,
4/17/2021,PM,LS,M,445,RWC,
4/17/2021,PM,LS,M,430,RWC,
4/17/2021,PM,LS,F,240,RWC,
4/17/2021,PM,LS,F,320,RWC,
4/17/2021,PM,LS,F,400,RWC,
4/17/2021,PM,BR,M,340,RWC,
4/17/2021,PM,BR,M,280,RWC,
4/17/2021,PM,BR,F,310,RWC,
4/17/2021,PM,BR,F,760,RWC,
4/17/2021,PM,BR,F,280,RWC,
